for alpha = 0.2

Scene: ../kinect/scenes/scene013.ply.pcd | Model: ../kinect/objects/doll/Doll011.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 204 | GT Points: 294
Scene: ../kinect/scenes/scene013.ply.pcd | Model: ../kinect/objects/doll/Doll012.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 204 | GT Points: 294
Scene: ../kinect/scenes/scene013.ply.pcd | Model: ../kinect/objects/doll/Doll013.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 220 | GT Points: 268
Scene: ../kinect/scenes/scene013.ply.pcd | Model: ../kinect/objects/doll/Doll014.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 155 | GT Points: 269
Scene: ../kinect/scenes/scene013.ply.pcd | Model: ../kinect/objects/doll/Doll015.ply.pcd | Recall: 0.192678% | Precision: 0.549451% | Corresp: 182 | GT Points: 519
Scene: ../kinect/scenes/scene013.ply.pcd | Model: ../kinect/objects/doll/Doll016.ply.pcd | Recall: 0.789889% | Precision: 2.46305% | Corresp: 203 | GT Points: 633
Scene: ../kinect/scenes/scene013.ply.pcd | Model: ../kinect/objects/doll/Doll017.ply.pcd | Recall: 1.1994% | Precision: 3.2% | Corresp: 250 | GT Points: 667
Scene: ../kinect/scenes/scene013.ply.pcd | Model: ../kinect/objects/doll/Doll018.ply.pcd | Recall: 7.73006% | Precision: 22.4199% | Corresp: 281 | GT Points: 815
Scene: ../kinect/scenes/scene013.ply.pcd | Model: ../kinect/objects/doll/Doll019.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 251 | GT Points: 75
Scene: ../kinect/scenes/scene022.ply.pcd | Model: ../kinect/objects/doll/Doll005.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 256 | GT Points: 238
Scene: ../kinect/scenes/scene022.ply.pcd | Model: ../kinect/objects/doll/Doll006.ply.pcd | Recall: 1.33929% | Precision: 2.14286% | Corresp: 280 | GT Points: 448
Scene: ../kinect/scenes/scene022.ply.pcd | Model: ../kinect/objects/doll/Doll007.ply.pcd | Recall: 0.932401% | Precision: 1.82648% | Corresp: 219 | GT Points: 429
Scene: ../kinect/scenes/scene022.ply.pcd | Model: ../kinect/objects/doll/Doll008.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 189 | GT Points: 289
Scene: ../kinect/scenes/scene022.ply.pcd | Model: ../kinect/objects/doll/Doll009.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 223 | GT Points: 297
Scene: ../kinect/scenes/scene022.ply.pcd | Model: ../kinect/objects/doll/Doll010.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 282 | GT Points: 410
Scene: ../kinect/scenes/scene022.ply.pcd | Model: ../kinect/objects/doll/Doll011.ply.pcd | Recall: 0.255754% | Precision: 0.478469% | Corresp: 209 | GT Points: 391
Scene: ../kinect/scenes/scene022.ply.pcd | Model: ../kinect/objects/doll/Doll012.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 235 | GT Points: 390
Scene: ../kinect/scenes/scene022.ply.pcd | Model: ../kinect/objects/doll/Doll013.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 256 | GT Points: 425
Scene: ../kinect/scenes/scene022.ply.pcd | Model: ../kinect/objects/doll/Doll014.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 221 | GT Points: 404
Scene: ../kinect/scenes/scene022.ply.pcd | Model: ../kinect/objects/doll/Doll015.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 200 | GT Points: 540
Scene: ../kinect/scenes/scene022.ply.pcd | Model: ../kinect/objects/doll/Doll016.ply.pcd | Recall: 0.338409% | Precision: 0.858369% | Corresp: 233 | GT Points: 591
Scene: ../kinect/scenes/scene022.ply.pcd | Model: ../kinect/objects/doll/Doll017.ply.pcd | Recall: 5.39419% | Precision: 12.7036% | Corresp: 307 | GT Points: 723
Scene: ../kinect/scenes/scene022.ply.pcd | Model: ../kinect/objects/doll/Doll018.ply.pcd | Recall: 2.7972% | Precision: 8.19113% | Corresp: 293 | GT Points: 858
Scene: ../kinect/scenes/scene022.ply.pcd | Model: ../kinect/objects/doll/Doll019.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 258 | GT Points: 114
Scene: ../kinect/scenes/scene030.ply.pcd | Model: ../kinect/objects/doll/Doll005.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 295 | GT Points: 244
Scene: ../kinect/scenes/scene030.ply.pcd | Model: ../kinect/objects/doll/Doll006.ply.pcd | Recall: 1.62602% | Precision: 2.27273% | Corresp: 264 | GT Points: 369
Scene: ../kinect/scenes/scene030.ply.pcd | Model: ../kinect/objects/doll/Doll007.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 218 | GT Points: 289
Scene: ../kinect/scenes/scene030.ply.pcd | Model: ../kinect/objects/doll/Doll008.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 172 | GT Points: 154
Scene: ../kinect/scenes/scene030.ply.pcd | Model: ../kinect/objects/doll/Doll009.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 196 | GT Points: 272
Scene: ../kinect/scenes/scene030.ply.pcd | Model: ../kinect/objects/doll/Doll010.ply.pcd | Recall: 0.635593% | Precision: 1.21951% | Corresp: 246 | GT Points: 472
Scene: ../kinect/scenes/scene030.ply.pcd | Model: ../kinect/objects/doll/Doll011.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 243 | GT Points: 382
Scene: ../kinect/scenes/scene030.ply.pcd | Model: ../kinect/objects/doll/Doll012.ply.pcd | Recall: 0% | Precision: 0% | Corresp: 184 | GT Points: 371
