Scene: ../kinect/scenes/scene013.ply.pcd | Model: ../kinect/objects/doll/Doll016.ply.pcd | Precision: 0% | Matches: 10 | Time: 357ms
Scene: ../kinect/scenes/scene013.ply.pcd | Model: ../kinect/objects/doll/Doll017.ply.pcd | Precision: 30% | Matches: 10 | Time: 421ms
Scene: ../kinect/scenes/scene013.ply.pcd | Model: ../kinect/objects/doll/Doll018.ply.pcd | Precision: 50% | Matches: 10 | Time: 378ms
Scene: ../kinect/scenes/scene013.ply.pcd | Model: ../kinect/objects/doll/Doll019.ply.pcd | Precision: 54.5455% | Matches: 11 | Time: 386ms
Scene: ../kinect/scenes/scene022.ply.pcd | Model: ../kinect/objects/doll/Doll005.ply.pcd | Precision: 52.6316% | Matches: 19 | Time: 337ms
Scene: ../kinect/scenes/scene022.ply.pcd | Model: ../kinect/objects/doll/Doll006.ply.pcd | Precision: 75% | Matches: 16 | Time: 338ms
Scene: ../kinect/scenes/scene022.ply.pcd | Model: ../kinect/objects/doll/Doll007.ply.pcd | Precision: 77.7778% | Matches: 9 | Time: 371ms
Scene: ../kinect/scenes/scene022.ply.pcd | Model: ../kinect/objects/doll/Doll008.ply.pcd | Precision: 0% | Matches: 11 | Time: 315ms
Scene: ../kinect/scenes/scene022.ply.pcd | Model: ../kinect/objects/doll/Doll009.ply.pcd | Precision: 12.5% | Matches: 8 | Time: 346ms
Scene: ../kinect/scenes/scene022.ply.pcd | Model: ../kinect/objects/doll/Doll010.ply.pcd | Precision: 0% | Matches: 9 | Time: 348ms
Scene: ../kinect/scenes/scene022.ply.pcd | Model: ../kinect/objects/doll/Doll011.ply.pcd | Precision: 72.7273% | Matches: 11 | Time: 332ms
Scene: ../kinect/scenes/scene022.ply.pcd | Model: ../kinect/objects/doll/Doll012.ply.pcd | Precision: 81.8182% | Matches: 11 | Time: 331ms
Scene: ../kinect/scenes/scene022.ply.pcd | Model: ../kinect/objects/doll/Doll013.ply.pcd | Precision: 14.2857% | Matches: 7 | Time: 387ms
Scene: ../kinect/scenes/scene022.ply.pcd | Model: ../kinect/objects/doll/Doll014.ply.pcd | Precision: 76.9231% | Matches: 13 | Time: 356ms
Scene: ../kinect/scenes/scene022.ply.pcd | Model: ../kinect/objects/doll/Doll015.ply.pcd | Precision: 0% | Matches: 10 | Time: 319ms
Scene: ../kinect/scenes/scene022.ply.pcd | Model: ../kinect/objects/doll/Doll016.ply.pcd | Precision: 22.2222% | Matches: 9 | Time: 360ms
Scene: ../kinect/scenes/scene022.ply.pcd | Model: ../kinect/objects/doll/Doll017.ply.pcd | Precision: 90.9091% | Matches: 11 | Time: 361ms
Scene: ../kinect/scenes/scene022.ply.pcd | Model: ../kinect/objects/doll/Doll018.ply.pcd | Precision: 80% | Matches: 10 | Time: 377ms
Scene: ../kinect/scenes/scene022.ply.pcd | Model: ../kinect/objects/doll/Doll019.ply.pcd | Precision: 45.4545% | Matches: 11 | Time: 374ms
Scene: ../kinect/scenes/scene030.ply.pcd | Model: ../kinect/objects/doll/Doll005.ply.pcd | Precision: 100% | Matches: 9 | Time: 407ms
Scene: ../kinect/scenes/scene030.ply.pcd | Model: ../kinect/objects/doll/Doll006.ply.pcd | Precision: 27.2727% | Matches: 11 | Time: 413ms
Scene: ../kinect/scenes/scene030.ply.pcd | Model: ../kinect/objects/doll/Doll007.ply.pcd | Precision: 0% | Matches: 6 | Time: 402ms
Scene: ../kinect/scenes/scene030.ply.pcd | Model: ../kinect/objects/doll/Doll008.ply.pcd | Precision: 30% | Matches: 10 | Time: 352ms
Scene: ../kinect/scenes/scene030.ply.pcd | Model: ../kinect/objects/doll/Doll009.ply.pcd | Precision: 50% | Matches: 8 | Time: 356ms
Scene: ../kinect/scenes/scene030.ply.pcd | Model: ../kinect/objects/doll/Doll010.ply.pcd | Precision: 0% | Matches: 14 | Time: 381ms
Scene: ../kinect/scenes/scene030.ply.pcd | Model: ../kinect/objects/doll/Doll011.ply.pcd | Precision: 100% | Matches: 6 | Time: 344ms
Scene: ../kinect/scenes/scene030.ply.pcd | Model: ../kinect/objects/doll/Doll012.ply.pcd | Precision: 77.7778% | Matches: 9 | Time: 388ms
Scene: ../kinect/scenes/scene030.ply.pcd | Model: ../kinect/objects/doll/Doll013.ply.pcd | Precision: 37.5% | Matches: 8 | Time: 377ms
