Scene: ../kinect/scenes/scene001.ply.pcd | Model: ../kinect/objects/mario/mario000.ply.pcd | Precision: 18.1818% | Matches: 11 | Time: 297ms
 | ICP refinement score 0.00026094Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/mario/mario009.ply.pcd | Precision: 0% | Matches: 6 | Time: 277ms
 | ICP refinement score 0.000149384Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/mario/mario010.ply.pcd | Precision: 22.2222% | Matches: 9 | Time: 325ms
 | ICP refinement score 0.000301486Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/mario/mario011.ply.pcd | Precision: 0% | Matches: 7 | Time: 312ms
 | ICP refinement score 0.000550963Scene: ../kinect/scenes/scene006.ply.pcd | Model: ../kinect/objects/mario/mario013.ply.pcd | Precision: 0% | Matches: 9 | Time: 280ms
 | ICP refinement score 0.000416083Scene: ../kinect/scenes/scene010.ply.pcd | Model: ../kinect/objects/mario/mario000.ply.pcd | Precision: 60% | Matches: 10 | Time: 326ms
 | ICP refinement score 4.35713e-05Scene: ../kinect/scenes/scene010.ply.pcd | Model: ../kinect/objects/mario/mario001.ply.pcd | Precision: 100% | Matches: 6 | Time: 325ms
 | ICP refinement score 0.000626921Scene: ../kinect/scenes/scene010.ply.pcd | Model: ../kinect/objects/mario/mario002.ply.pcd | Precision: 12.5% | Matches: 8 | Time: 308ms
 | ICP refinement score 0.000553938Scene: ../kinect/scenes/scene010.ply.pcd | Model: ../kinect/objects/mario/mario003.ply.pcd | Precision: 66.6667% | Matches: 9 | Time: 311ms
 | ICP refinement score 0.000293034Scene: ../kinect/scenes/scene010.ply.pcd | Model: ../kinect/objects/mario/mario004.ply.pcd | Precision: 100% | Matches: 13 | Time: 331ms
 | ICP refinement score 0.000355104Scene: ../kinect/scenes/scene010.ply.pcd | Model: ../kinect/objects/mario/mario005.ply.pcd | Precision: 41.6667% | Matches: 12 | Time: 340ms
 | ICP refinement score 0.000378157Scene: ../kinect/scenes/scene010.ply.pcd | Model: ../kinect/objects/mario/mario006.ply.pcd | Precision: 53.8462% | Matches: 13 | Time: 330ms
 | ICP refinement score 0.000343508Scene: ../kinect/scenes/scene010.ply.pcd | Model: ../kinect/objects/mario/mario007.ply.pcd | Precision: 0% | Matches: 10 | Time: 327ms
 | ICP refinement score 0.000418198Scene: ../kinect/scenes/scene010.ply.pcd | Model: ../kinect/objects/mario/mario008.ply.pcd | Precision: 14.2857% | Matches: 7 | Time: 341ms
 | ICP refinement score 0.000178155Scene: ../kinect/scenes/scene010.ply.pcd | Model: ../kinect/objects/mario/mario009.ply.pcd | Precision: 30% | Matches: 10 | Time: 327ms
 | ICP refinement score 0.000793957Scene: ../kinect/scenes/scene010.ply.pcd | Model: ../kinect/objects/mario/mario010.ply.pcd | Precision: 16.6667% | Matches: 12 | Time: 314ms
 | ICP refinement score 0.000343387Scene: ../kinect/scenes/scene010.ply.pcd | Model: ../kinect/objects/mario/mario011.ply.pcd | Precision: 12.5% | Matches: 8 | Time: 355ms
 | ICP refinement score 0.000387285Scene: ../kinect/scenes/scene010.ply.pcd | Model: ../kinect/objects/mario/mario013.ply.pcd | Precision: 50% | Matches: 6 | Time: 313ms
 | ICP refinement score 0.000268124Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/mario/mario000.ply.pcd | Precision: 100% | Matches: 14 | Time: 311ms
 | ICP refinement score 0.000420459Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/mario/mario001.ply.pcd | Precision: 81.8182% | Matches: 11 | Time: 312ms
 | ICP refinement score 0.00050571Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/mario/mario002.ply.pcd | Precision: 50% | Matches: 8 | Time: 308ms
 | ICP refinement score 0.000814174Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/mario/mario003.ply.pcd | Precision: 80% | Matches: 10 | Time: 280ms
 | ICP refinement score 0.000226031Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/mario/mario004.ply.pcd | Precision: 100% | Matches: 15 | Time: 301ms
 | ICP refinement score 0.000671473Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/mario/mario005.ply.pcd | Precision: 55.5556% | Matches: 9 | Time: 310ms
 | ICP refinement score 0.00041682Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/mario/mario006.ply.pcd | Precision: 42.8571% | Matches: 7 | Time: 299ms
 | ICP refinement score 0.000511074Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/mario/mario007.ply.pcd | Precision: 63.6364% | Matches: 11 | Time: 289ms
 | ICP refinement score 0.000331176Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/mario/mario008.ply.pcd | Precision: 63.6364% | Matches: 11 | Time: 289ms
 | ICP refinement score 0.000349792Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/mario/mario009.ply.pcd | Precision: 0% | Matches: 9 | Time: 269ms
 | ICP refinement score 0.000349239Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/mario/mario010.ply.pcd | Precision: 0% | Matches: 7 | Time: 295ms
 | ICP refinement score 0.00117782Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/mario/mario011.ply.pcd | Precision: 100% | Matches: 11 | Time: 304ms
 | ICP refinement score 0.000581019Scene: ../kinect/scenes/scene014.ply.pcd | Model: ../kinect/objects/mario/mario013.ply.pcd | Precision: 0% | Matches: 7 | Time: 281ms
 | ICP refinement score 0.000228886Scene: ../kinect/scenes/scene019.ply.pcd | Model: ../kinect/objects/mario/mario000.ply.pcd | Precision: 36.3636% | Matches: 11 | Time: 294ms
 | ICP refinement score 0.000902968Scene: ../kinect/scenes/scene019.ply.pcd | Model: ../kinect/objects/mario/mario001.ply.pcd | Precision: 87.5% | Matches: 8 | Time: 289ms
 | ICP refinement score 0.000184879Scene: ../kinect/scenes/scene019.ply.pcd | Model: ../kinect/objects/mario/mario002.ply.pcd | Precision: 66.6667% | Matches: 9 | Time: 270ms
 | ICP refinement score 0.000584861Scene: ../kinect/scenes/scene019.ply.pcd | Model: ../kinect/objects/mario/mario003.ply.pcd | Precision: 0% | Matches: 6 | Time: 281ms
 | ICP refinement score 0.00119412Scene: ../kinect/scenes/scene019.ply.pcd | Model: ../kinect/objects/mario/mario004.ply.pcd | Precision: 22.2222% | Matches: 9 | Time: 297ms
 | ICP refinement score 0.000356816Scene: ../kinect/scenes/scene019.ply.pcd | Model: ../kinect/objects/mario/mario005.ply.pcd | Precision: 25% | Matches: 8 | Time: 306ms
 | ICP refinement score 0.000603788Scene: ../kinect/scenes/scene019.ply.pcd | Model: ../kinect/objects/mario/mario006.ply.pcd | Precision: 0% | Matches: 12 | Time: 298ms
 | ICP refinement score 0.000853601Scene: ../kinect/scenes/scene019.ply.pcd | Model: ../kinect/objects/mario/mario007.ply.pcd | Precision: 63.6364% | Matches: 11 | Time: 294ms
 | ICP refinement score 0.000273539Scene: ../kinect/scenes/scene019.ply.pcd | Model: ../kinect/objects/mario/mario008.ply.pcd | Precision: 0% | Matches: 10 | Time: 279ms
 | ICP refinement score 0.000199017Scene: ../kinect/scenes/scene019.ply.pcd | Model: ../kinect/objects/mario/mario009.ply.pcd | Precision: 57.1429% | Matches: 7 | Time: 282ms
 | ICP refinement score 0.00116064Scene: ../kinect/scenes/scene019.ply.pcd | Model: ../kinect/objects/mario/mario010.ply.pcd | Precision: 22.2222% | Matches: 9 | Time: 283ms
 | ICP refinement score 0.000417911Scene: ../kinect/scenes/scene019.ply.pcd | Model: ../kinect/objects/mario/mario011.ply.pcd | Precision: 57.1429% | Matches: 14 | Time: 297ms
 | ICP refinement score 0.000330725Scene: ../kinect/scenes/scene019.ply.pcd | Model: ../kinect/objects/mario/mario013.ply.pcd | Precision: 100% | Matches: 11 | Time: 255ms
 | ICP refinement score 0.000164451Scene: ../kinect/scenes/scene031.ply.pcd | Model: ../kinect/objects/mario/mario000.ply.pcd | Precision: 0% | Matches: 8 | Time: 287ms
 | ICP refinement score 0.000327574Scene: ../kinect/scenes/scene031.ply.pcd | Model: ../kinect/objects/mario/mario001.ply.pcd | Precision: 14.2857% | Matches: 7 | Time: 288ms
 | ICP refinement score 0.000880634Scene: ../kinect/scenes/scene031.ply.pcd | Model: ../kinect/objects/mario/mario002.ply.pcd | Precision: 90% | Matches: 10 | Time: 262ms
 | ICP refinement score 0.000285863Scene: ../kinect/scenes/scene031.ply.pcd | Model: ../kinect/objects/mario/mario003.ply.pcd | Precision: 0% | Matches: 8 | Time: 273ms
 | ICP refinement score 0.00034048Scene: ../kinect/scenes/scene031.ply.pcd | Model: ../kinect/objects/mario/mario004.ply.pcd | Precision: 55.5556% | Matches: 9 | Time: 295ms
 | ICP refinement score 0.000214763Scene: ../kinect/scenes/scene031.ply.pcd | Model: ../kinect/objects/mario/mario005.ply.pcd | Precision: 88.8889% | Matches: 9 | Time: 301ms
 | ICP refinement score 0.000339627Scene: ../kinect/scenes/scene031.ply.pcd | Model: ../kinect/objects/mario/mario006.ply.pcd | Precision: 16.6667% | Matches: 12 | Time: 289ms
 | ICP refinement score 0.000328962Scene: ../kinect/scenes/scene031.ply.pcd | Model: ../kinect/objects/mario/mario007.ply.pcd | Precision: 45.4545% | Matches: 11 | Time: 292ms
 | ICP refinement score 0.000458366Scene: ../kinect/scenes/scene031.ply.pcd | Model: ../kinect/objects/mario/mario008.ply.pcd | Precision: 0% | Matches: 11 | Time: 280ms
 | ICP refinement score 0.00101628Scene: ../kinect/scenes/scene031.ply.pcd | Model: ../kinect/objects/mario/mario009.ply.pcd | Precision: 81.8182% | Matches: 11 | Time: 266ms
 | ICP refinement score 0.000291539Scene: ../kinect/scenes/scene031.ply.pcd | Model: ../kinect/objects/mario/mario010.ply.pcd | Precision: 30.7692% | Matches: 13 | Time: 278ms
 | ICP refinement score 0.000297609Scene: ../kinect/scenes/scene031.ply.pcd | Model: ../kinect/objects/mario/mario011.ply.pcd | Precision: 0% | Matches: 10 | Time: 303ms
 | ICP refinement score 0.000272425Scene: ../kinect/scenes/scene031.ply.pcd | Model: ../kinect/objects/mario/mario013.ply.pcd | Precision: 68.75% | Matches: 16 | Time: 272ms
 | ICP refinement score 0.000110164Scene: ../kinect/scenes/scene032.ply.pcd | Model: ../kinect/objects/mario/mario000.ply.pcd | Precision: 31.25% | Matches: 16 | Time: 284ms
 | ICP refinement score 0.00021717Scene: ../kinect/scenes/scene032.ply.pcd | Model: ../kinect/objects/mario/mario001.ply.pcd | Precision: 42.8571% | Matches: 7 | Time: 285ms
 | ICP refinement score 0.00045166Scene: ../kinect/scenes/scene032.ply.pcd | Model: ../kinect/objects/mario/mario002.ply.pcd | Precision: 0% | Matches: 12 | Time: 266ms
 | ICP refinement score 0.000323518Scene: ../kinect/scenes/scene032.ply.pcd | Model: ../kinect/objects/mario/mario003.ply.pcd | Precision: 20% | Matches: 5 | Time: 265ms
 | ICP refinement score 0.000197063Scene: ../kinect/scenes/scene032.ply.pcd | Model: ../kinect/objects/mario/mario004.ply.pcd | Precision: 93.3333% | Matches: 15 | Time: 289ms
 | ICP refinement score 0.000327736Scene: ../kinect/scenes/scene032.ply.pcd | Model: ../kinect/objects/mario/mario005.ply.pcd | Precision: 100% | Matches: 10 | Time: 287ms
 | ICP refinement score 0.000574Scene: ../kinect/scenes/scene032.ply.pcd | Model: ../kinect/objects/mario/mario006.ply.pcd | Precision: 83.3333% | Matches: 6 | Time: 285ms
 | ICP refinement score 0.000237242Scene: ../kinect/scenes/scene032.ply.pcd | Model: ../kinect/objects/mario/mario007.ply.pcd | Precision: 66.6667% | Matches: 9 | Time: 282ms
 | ICP refinement score 0.000202699Scene: ../kinect/scenes/scene032.ply.pcd | Model: ../kinect/objects/mario/mario008.ply.pcd | Precision: 77.7778% | Matches: 9 | Time: 274ms
 | ICP refinement score 0.000268012Scene: ../kinect/scenes/scene032.ply.pcd | Model: ../kinect/objects/mario/mario009.ply.pcd | Precision: 78.5714% | Matches: 14 | Time: 258ms
